mass_msun,sfr_msun_yr,sfr_err
3.7252e+10,2.3431,0.7029
9.6064e+10,4.6380,1.3914
1.9165e+10,2.4194,0.7258
6.5256e+10,17.2506,5.1752
3.6818e+09,0.1349,0.0405
3.1355e+09,0.2715,0.0814
8.0876e+09,0.5226,0.1568
2.8088e+09,0.0832,0.0250
7.3308e+09,1.2180,0.3654
2.3459e+11,23.0822,6.9247
2.7123e+10,2.8495,0.8548
7.0822e+09,0.4212,0.1264
4.7732e+09,0.6535,0.1961
2.3994e+11,16.5314,4.9594
1.2918e+10,1.1704,0.3511
2.8248e+11,13.1374,3.9412
1.9445e+10,0.8394,0.2518
2.0087e+10,5.0533,1.5160
1.7432e+11,12.2806,3.6842
7.1931e+10,8.7988,2.6396
2.8290e+10,2.7637,0.8291
1.1658e+10,0.8596,0.2579
1.5684e+11,11.0429,3.3129
1.0693e+10,1.6525,0.4957
2.0272e+11,16.4565,4.9370
1.4852e+09,0.1338,0.0401
1.1885e+10,1.2069,0.3621
1.9897e+10,4.4848,1.3454
2.3842e+11,38.1504,11.4451
4.2413e+09,0.5524,0.1657
1.0354e+11,7.0150,2.1045
4.9111e+10,1.8905,0.5672
6.2046e+10,11.9557,3.5867
3.7502e+10,7.3112,2.1934
2.6847e+11,24.3607,7.3082
6.7874e+09,0.9869,0.2961
9.9012e+09,1.6987,0.5096
3.2157e+09,0.5710,0.1713
1.3389e+09,0.2530,0.0759
3.4062e+09,0.2486,0.0746
