wavelength_A,flux_norm
6500.000,0.00006
6501.261,0.01494
6502.521,-0.01371
6503.782,-0.04453
6505.042,-0.02273
6506.303,-0.04958
6507.563,0.00301
6508.824,0.06701
6510.084,-0.02461
6511.345,-0.03102
6512.605,0.02449
6513.866,0.01784
6515.126,0.00527
6516.387,-0.04652
6517.647,-0.00146
6518.908,0.03477
6520.168,-0.06721
6521.429,-0.02288
6522.689,-0.09506
6523.950,-0.06448
6525.210,-0.09209
6526.471,-0.01175
6527.731,-0.06337
6528.992,0.01356
6530.252,0.00784
6531.513,-0.00935
6532.773,-0.12583
6534.034,-0.02692
6535.294,-0.00240
6536.555,0.00574
6537.815,-0.07633
6539.076,-0.02349
6540.336,-0.04804
6541.597,-0.03855
6542.857,0.05689
6544.118,-0.03288
6545.378,0.01238
6546.639,0.06930
6547.899,0.01385
6549.160,0.06514
6550.420,0.11692
6551.681,0.17131
6552.941,0.18187
6554.202,0.34069
6555.462,0.51524
6556.723,0.49170
6557.983,0.73668
6559.244,0.81629
6560.504,0.87489
6561.765,1.07272
6563.025,1.03770
6564.286,0.92432
6565.546,0.93243
6566.807,0.86846
6568.067,0.71793
6569.328,0.63792
6570.588,0.47691
6571.849,0.39936
6573.109,0.33921
6574.370,0.15325
6575.630,0.13556
6576.891,0.05740
6578.151,0.05596
6579.412,-0.03010
6580.672,-0.01243
6581.933,-0.00085
6583.193,0.04959
6584.454,0.05957
6585.714,-0.06508
6586.975,-0.03923
6588.235,0.03257
6589.496,-0.09953
6590.756,-0.02312
6592.017,-0.00485
6593.277,0.06286
6594.538,0.03447
6595.798,-0.01636
6597.059,-0.01843
6598.319,-0.01251
6599.580,0.07618
6600.840,-0.02140
6602.101,-0.01518
6603.361,0.01763
6604.622,-0.00604
6605.882,-0.00986
6607.143,-0.05570
6608.403,-0.00058
6609.664,-0.02218
6610.924,0.05831
6612.185,0.03265
6613.445,-0.00121
6614.706,0.03342
6615.966,-0.01699
6617.227,0.05261
6618.487,-0.00027
6619.748,0.02917
6621.008,-0.06454
6622.269,0.01733
6623.529,-0.08441
6624.790,-0.10177
6626.050,-0.01522
6627.311,-0.04500
6628.571,0.00820
6629.832,0.11224
6631.092,-0.04159
6632.353,-0.03120
6633.613,0.01027
6634.874,0.02465
6636.134,-0.00882
6637.395,-0.01030
6638.655,0.03512
6639.916,0.02600
6641.176,-0.05168
6642.437,-0.00396
6643.697,0.00176
6644.958,-0.05272
6646.218,0.01299
6647.479,-0.04290
6648.739,0.04860
6650.000,0.00964
