chore,week,hours
Relabeling figures,1,3.43
Relabeling figures,2,3.29
Relabeling figures,3,3.35
Relabeling figures,4,3.33
Relabeling figures,5,3.46
Relabeling figures,6,3.44
Relabeling figures,7,3.49
Relabeling figures,8,3.30
Relabeling figures,9,3.38
Relabeling figures,10,3.29
Relabeling figures,11,3.33
Relabeling figures,12,3.40
Relabeling figures,13,2.32
Relabeling figures,14,1.67
Relabeling figures,15,1.29
Relabeling figures,16,0.91
Relabeling figures,17,0.58
Relabeling figures,18,0.48
Relabeling figures,19,0.40
Relabeling figures,20,0.12
Relabeling figures,21,0.24
Relabeling figures,22,0.17
Relabeling figures,23,0.05
Relabeling figures,24,0.05
Fixing references,1,2.71
Fixing references,2,2.56
Fixing references,3,2.50
Fixing references,4,2.50
Fixing references,5,2.68
Fixing references,6,2.62
Fixing references,7,2.67
Fixing references,8,2.66
Fixing references,9,2.61
Fixing references,10,2.71
Fixing references,11,2.57
Fixing references,12,2.61
Fixing references,13,1.94
Fixing references,14,1.36
Fixing references,15,1.04
Fixing references,16,0.70
Fixing references,17,0.54
Fixing references,18,0.24
Fixing references,19,0.19
Fixing references,20,0.13
Fixing references,21,0.05
Fixing references,22,0.05
Fixing references,23,0.05
Fixing references,24,0.05
Reformatting files,1,2.13
Reformatting files,2,2.07
Reformatting files,3,2.07
Reformatting files,4,2.03
Reformatting files,5,2.04
Reformatting files,6,2.20
Reformatting files,7,2.14
Reformatting files,8,2.13
Reformatting files,9,2.02
Reformatting files,10,2.15
Reformatting files,11,2.02
Reformatting files,12,2.07
Reformatting files,13,1.62
Reformatting files,14,1.11
Reformatting files,15,0.79
Reformatting files,16,0.60
Reformatting files,17,0.48
Reformatting files,18,0.35
Reformatting files,19,0.14
Reformatting files,20,0.05
Reformatting files,21,0.06
Reformatting files,22,0.05
Reformatting files,23,0.05
Reformatting files,24,0.14
Note consolidation,1,1.49
Note consolidation,2,1.36
Note consolidation,3,1.44
Note consolidation,4,1.37
Note consolidation,5,1.50
Note consolidation,6,1.39
Note consolidation,7,1.34
Note consolidation,8,1.34
Note consolidation,9,1.41
Note consolidation,10,1.34
Note consolidation,11,1.42
Note consolidation,12,1.50
Note consolidation,13,0.98
Note consolidation,14,0.65
Note consolidation,15,0.63
Note consolidation,16,0.37
Note consolidation,17,0.17
Note consolidation,18,0.08
Note consolidation,19,0.05
Note consolidation,20,0.13
Note consolidation,21,0.14
Note consolidation,22,0.05
Note consolidation,23,0.05
Note consolidation,24,0.05
